0,1,2,3,4,5,6
48.0,40.0,38.33333333,5.0,16.66666667,1723.0,-4.197016418805195
49.0,40.0,25.0,5.0,30.0,1773.0,-3.682771372031966
50.0,56.5,23.5,0.0,20.0,1773.0,-3.075172047134226
51.0,61.25,18.75,0.0,20.0,1673.0,-3.356393933014927
52.0,40.0,40.0,3.333333333,16.66666667,1723.0,-4.283343060961685
53.0,51.0,29.000000000000004,0.0,20.0,1723.0,-3.7116373903059228
54.0,40.0,21.66666667,5.0,33.33333333,1723.0,-3.8652419150858015
55.0,50.0,30.0,0.0,20.0,1773.0,-3.522968546544871
56.0,45.0,35.0,0.0,20.0,1773.0,-3.8360380053179712
57.0,40.0,40.0,2.5,17.5,1773.0,-4.073473325078816
58.0,40.0,40.0,2.5,17.5,1773.0,-4.073473726414283
59.0,47.5,32.5,0.0,20.0,1773.0,-3.683239559209781
60.0,70.25,9.75,0.0,20.0,1673.0,-2.7687010050626006
61.0,71.625,8.374999999999998,0.0,20.0,1723.0,-2.276314786035087
62.0,41.375,38.625,0.0,20.0,1673.0,-4.473437083841916
63.0,40.0,40.0,3.125,16.875,1673.0,-4.501269022385499
64.0,41.375,38.625,0.0,20.0,1673.0,-4.4736743206120595
65.0,68.875,11.125,0.0,20.0,1723.0,-2.473853164496925
66.0,51.0,29.000000000000004,0.0,20.0,1773.0,-3.4568873217098623
67.0,40.0,40.0,4.791666667,15.20833333,1673.0,-4.443057438471046
68.0,40.0,13.33333333,5.0,41.66666667,1673.0,-3.95030150362162
69.0,40.0,5.0,5.0,50.0,1773.0,-3.26117099677274
70.0,68.875,11.125,0.0,20.0,1723.0,-2.4728946810729866
71.0,40.0,40.0,2.291666667,17.70833333,1673.0,-4.5174056308563655
72.0,41.375,38.625,0.0,20.0,1773.0,-4.0438229447655765
73.0,40.0,40.0,1.666666667,18.33333333,1723.0,-4.313969470401643
74.0,40.0,40.0,5.0,15.0,1723.0,-4.223507855303255
75.0,40.0,33.33333333,5.0,21.66666667,1773.0,-3.867765238366232
76.0,45.5,34.5,0.0,20.0,1673.0,-4.2731046402571
77.0,40.0,40.0,4.583333333,15.41666667,1773.0,-4.009898118096947
78.0,63.74999999999999,16.25,0.0,20.0,1773.0,-2.532343567882781
79.0,60.0,20.0,0.0,20.0,1773.0,-2.8159878467588744
80.0,56.5,23.5,0.0,20.0,1673.0,-3.6545752529384097
81.0,63.375,16.625,0.0,20.0,1673.0,-3.2192874617165588
82.0,40.0,40.0,1.458333333,18.54166667,1673.0,-4.528292229018522
83.0,40.0,23.33333333,5.0,31.66666667,1723.0,-3.9048687640302804
84.0,56.25,23.75,0.0,20.0,1773.0,-3.091630463333503
85.0,40.0,41.66666667,5.0,13.33333333,1773.0,-4.01688560407978
86.0,40.0,10.0,5.0,45.0,1723.0,-3.629469573008064
87.0,40.0,26.66666667,5.0,28.33333333,1723.0,-3.9774416825259293
88.0,66.125,13.875000000000002,0.0,20.0,1773.0,-2.3489930387991413
89.0,40.0,10.0,5.0,45.0,1673.0,-3.895225416940336
90.0,40.0,20.0,5.0,35.0,1773.0,-3.5735757172637532
91.0,40.0,40.0,0.0,20.0,1673.0,-4.539920674034163
92.0,52.5,27.5,0.0,20.0,1673.0,-3.893655375928563
93.0,40.0,25.0,5.0,30.0,1673.0,-4.184360910988739
94.0,40.0,30.0,5.0,25.0,1773.0,-3.7989985008032168
95.0,50.0,30.0,0.0,20.0,1773.0,-3.5232516623608157
96.0,66.125,13.875000000000002,0.0,20.0,1673.0,-3.037924058540691
97.0,64.75,15.25,0.0,20.0,1773.0,-2.45287601016118
98.0,55.125,24.875,0.0,20.0,1673.0,-3.7392925123333938
99.0,68.75,11.25,0.0,20.0,1673.0,-2.8634284213161694
100.0,68.75,11.25,0.0,20.0,1673.0,-2.8633239402909867
101.0,48.25,31.75,0.0,20.0,1673.0,-4.132040370762428
102.0,71.625,8.374999999999998,0.0,20.0,1723.0,-2.2669195072263926
103.0,47.5,32.5,0.0,20.0,1723.0,-3.926613364017588
104.0,40.0,40.0,3.333333333,16.66666667,1773.0,-4.053724290364613
105.0,40.0,40.0,4.791666667,15.20833333,1773.0,-4.002717051647749
106.0,40.0,25.0,5.0,30.0,1673.0,-4.186563607539364
107.0,40.0,25.0,5.0,30.0,1723.0,-3.943621944979757
108.0,63.375,16.625,0.0,20.0,1673.0,-3.218631951460335
109.0,46.875,33.125,0.0,20.0,1673.0,-4.205971446574263
